iter	Passed	Remaining
399	20222	30333
400	20264	30270
401	20309	30211
402	20351	30148
403	20380	30066
404	20424	30005
405	20467	29945
406	20511	29885
407	20556	29827
408	20600	29767
409	20642	29704
410	20683	29641
411	20725	29579
412	20772	29524
413	20807	29452
414	20870	29419
415	20936	29391
416	21001	29361
417	21056	29318
418	21105	29265
419	21173	29239
420	21211	29171
421	21240	29091
422	21286	29035
423	21329	28975
424	21369	28912
425	21411	28849
426	21459	28797
427	21500	28734
428	21544	28675
429	21584	28612
430	21627	28551
431	21678	28503
432	21723	28446
433	21751	28367
434	21796	28309
435	21839	28250
436	21876	28183
437	21907	28109
438	21961	28064
439	22014	28019
440	22058	27960
441	22084	27880
442	22126	27820
443	22171	27764
444	22199	27687
445	22241	27627
446	22319	27612
447	22393	27591
448	22436	27532
449	22476	27471
450	22523	27418
451	22564	27357
452	22638	27336
453	22689	27287
454	22731	27227
455	22779	27175
456	22827	27123
457	22874	27070
458	22915	27009
459	22957	26950
460	23002	26895
461	23043	26834
462	23085	26775
463	23131	26721
464	23178	26667
465	23230	26620
466	23271	26560
467	23320	26509
468	23361	26449
469	23387	26373
470	23435	26321
471	23473	26257
472	23514	26199
473	23558	26142
474	23598	26082
475	23641	26025
476	23691	25976
477	23739	25925
478	23768	25852
479	23811	25795
480	23852	25736
481	23900	25685
482	23944	25630
483	23994	25580
484	24034	25521
485	24074	25461
486	24117	25404
487	24159	25347
488	24211	25301
489	24256	25246
490	24316	25208
491	24365	25158
492	24421	25115
493	24482	25076
494	24570	25067
495	24636	25034
496	24691	24989
497	24758	24957
498	24809	24909
499	24873	24873
500	24912	24813
501	24962	24763
502	25020	24721
503	25074	24676
504	25114	24617
505	25148	24552
506	25202	24506
507	25263	24467
508	25312	24417
509	25357	24363
510	25399	24305
511	25464	24270
512	25550	24255
513	25653	24256
514	25732	24233
515	25798	24198
516	25856	24156
517	25918	24117
518	25983	24081
519	26043	24039
520	26084	23982
521	26126	23924
522	26167	23866
523	26216	23815
524	26274	23771
525	26327	23724
526	26376	23673
527	26416	23614
528	26459	23558
529	26503	23503
530	26535	23437
531	26579	23381
532	26639	23340
533	26682	23284
534	26738	23239
535	26778	23181
536	26819	23123
537	26846	23053
538	26887	22996
539	26929	22940
540	26979	22889
541	27030	22841
542	27087	22797
543	27139	22748
544	27178	22690
545	27221	22634
546	27261	22576
547	27309	22525
548	27349	22467
549	27394	22413
550	27437	22357
551	27489	22310
552	27537	22259
553	27586	22208
554	27632	22155
555	27673	22098
556	27719	22046
557	27765	21993
558	27820	21947
559	27870	21898
560	27903	21835
561	27960	21791
562	28003	21736
563	28051	21684
564	28097	21632
565	28138	21575
566	28182	21522
567	28224	21466
568	28276	21418
569	28317	21362
570	28360	21307
571	28403	21252
572	28445	21197
573	28487	21142
574	28537	21092
575	28592	21047
576	28644	20999
577	28692	20948
578	28736	20894
