iter	RMSE
0	5221.312612
1	5212.090714
2	5202.681424
3	5188.542779
4	5154.47003
5	5119.733145
6	5090.243838
7	5058.437105
8	5019.603678
9	5003.807016
10	4974.407891
11	4945.860259
12	4928.205326
13	4903.718216
14	4883.224283
15	4863.255806
16	4853.39083
17	4832.089064
18	4823.938055
19	4790.352415
20	4761.4849
21	4739.639077
22	4710.340918
23	4691.959936
24	4669.906525
25	4653.715995
26	4627.728096
27	4621.855153
28	4606.029572
29	4601.838462
30	4574.664678
31	4540.83176
32	4530.908889
33	4524.794958
34	4500.980547
35	4484.716625
36	4457.849611
37	4438.189364
38	4410.262194
39	4394.418397
40	4383.279328
41	4353.755109
42	4342.05885
43	4315.249166
44	4288.472535
45	4269.369307
46	4253.874217
47	4224.7089
48	4216.498813
49	4207.55396
50	4182.703286
51	4159.833198
52	4159.709065
53	4157.505454
54	4142.47799
55	4124.834716
56	4111.18707
57	4089.655509
58	4084.313817
59	4068.03832
60	4062.917646
61	4041.074354
62	4039.263671
63	4018.685268
64	4007.586066
65	3986.507315
66	3975.582467
67	3953.953927
68	3942.252129
69	3927.95677
70	3909.123181
71	3895.877899
72	3895.775095
73	3883.734508
74	3867.526763
75	3852.908559
76	3847.366661
77	3833.169594
78	3818.134761
79	3802.241697
80	3786.448148
81	3777.061568
82	3764.206837
83	3758.597505
84	3743.810657
85	3736.231599
86	3726.47229
87	3706.579141
88	3690.992161
89	3676.875485
90	3659.936415
91	3644.029356
92	3616.104177
93	3615.345454
94	3597.34194
95	3591.800204
96	3577.18635
97	3569.042099
98	3565.83558
99	3560.688676
100	3560.602628
101	3560.425918
102	3546.937013
103	3539.924808
104	3527.722242
105	3515.069629
106	3498.721298
107	3484.493454
108	3474.117926
109	3452.755704
110	3440.693604
111	3438.125366
112	3422.337775
113	3417.603194
114	3412.179866
115	3402.293653
116	3394.430203
117	3390.132618
118	3379.235097
119	3365.057436
120	3351.859199
121	3339.237005
122	3326.812493
123	3321.897374
124	3304.079364
125	3288.94178
126	3273.515931
127	3262.902547
128	3251.901737
129	3239.031332
130	3226.704328
131	3214.051765
132	3197.557295
133	3193.783733
134	3186.38056
135	3181.245999
136	3173.497121
137	3160.273573
138	3155.569523
139	3140.463548
140	3130.450101
141	3125.983949
142	3116.762383
143	3104.920004
144	3104.656348
145	3094.49478
146	3094.427254
147	3088.2205
148	3077.624544
149	3074.110713
150	3067.055221
151	3053.381612
152	3050.519624
153	3038.929291
154	3034.551832
155	3033.906053
156	3031.353358
157	3020.883827
158	3012.549568
159	3012.498736
160	3004.888733
161	3002.998013
162	2991.902147
163	2987.873768
164	2980.773546
165	2971.530903
166	2959.185484
167	2949.874622
168	2941.772723
169	2939.332365
170	2932.45135
171	2924.105033
172	2915.668166
173	2903.711877
174	2888.744026
175	2881.35542
176	2875.978441
177	2870.244276
178	2861.645938
179	2854.010056
180	2851.722799
181	2848.712726
182	2844.853627
183	2834.636897
184	2827.095366
185	2824.175317
186	2821.599149
187	2811.271633
188	2810.632854
189	2800.208428
190	2797.414029
191	2796.301542
192	2791.89382
193	2787.340479
194	2785.247873
195	2784.376067
196	2781.393655
197	2778.044058
198	2771.253142
199	2761.044925
200	2753.197834
201	2751.208556
202	2746.135179
203	2744.577794
204	2743.64142
205	2733.606853
206	2724.691058
207	2724.318543
208	2724.057004
209	2719.17764
210	2712.713843
211	2707.425928
212	2696.80941
213	2691.93262
214	2691.094837
215	2690.12366
216	2687.395249
217	2685.559801
218	2682.310481
219	2679.792614
220	2679.313463
221	2678.492824
222	2674.146966
223	2670.608301
224	2668.711086
225	2666.862965
226	2665.083614
227	2659.474783
228	2656.461781
229	2654.533943
230	2650.503149
231	2648.190342
232	2646.801105
233	2644.985656
234	2642.933786
235	2641.855444
236	2631.261294
237	2622.985677
238	2622.287678
